date,rub_to_usd
2007-06-24,25.323361
2007-06-22,25.323361
2007-06-23,25.323361
2020-12-13,73.057709
2017-09-03,57.932158
2017-09-02,57.932158
2017-09-01,57.932158
2012-12-04,30.815536
2008-01-02,23.958144
2010-09-06,29.765705
2022-02-17,76.140172
2020-07-12,70.790161
2021-11-12,72.87706
2005-04-27,27.803576
2020-07-24,71.670098
2013-12-10,32.683406
2011-10-19,31.128166
2020-10-31,79.371998
2009-06-08,31.272603
2015-08-23,67.073151
2015-08-22,67.073151
2015-08-21,67.073151
2022-01-04,75.025936
2014-07-03,34.289607
2020-06-24,69.525516
2010-02-27,29.946812
2010-02-28,29.946812
2010-02-26,29.946812
2009-04-23,33.270756
2016-03-30,67.564913
2016-04-24,66.806235
2016-04-22,66.806235
2015-09-17,64.95457
2016-04-23,66.806235
2015-09-21,66.537283
2021-11-10,71.235184
2020-12-09,73.615018
2010-10-07,29.808693
2008-11-10,26.679636
2011-03-09,28.206217
2009-12-09,30.396594
2012-05-17,30.990574
2018-11-07,66.080077
2020-03-18,75.12972
2015-11-03,63.582153
2016-10-18,62.959786
2016-03-08,71.463326
2017-10-16,57.166159
2005-12-11,28.833587
2005-12-09,28.833587
2005-12-10,28.833587
2005-11-22,28.568647
2018-09-27,65.837093
2022-01-22,77.599638
2020-10-16,77.80361
2013-12-30,32.590255
2007-07-26,25.452364
2016-01-07,74.295946
2011-10-23,31.353872
2011-10-22,31.353872
2011-10-21,31.353872
2015-12-23,70.999087
2007-07-30,25.529463
2022-05-08,66.948611
2017-07-13,60.008407
2008-10-27,27.359807
2016-04-28,64.659017
2015-10-20,61.953217
2015-12-19,70.641737
2016-01-13,76.37145
2015-12-20,70.641737
2015-12-18,70.641737
2010-07-01,30.986569
2015-03-26,57.463869
2015-05-30,52.584398
2015-05-29,52.584398
2019-10-09,64.956022
2015-05-31,52.584398
2016-11-13,64.969146
2016-11-12,64.969146
2016-11-11,64.969146
2020-03-26,78.318825
2020-02-13,63.313994
2016-03-02,73.879551
2009-03-03,36.178663
2006-10-10,26.94941
2006-04-27,27.371529
2013-10-08,32.231143
2014-09-12,37.442665
2014-09-13,37.442665
2014-09-14,37.442665
2012-10-29,31.438641
2009-09-10,30.141966
2008-07-31,23.434875
2011-11-08,29.8625
2007-07-10,25.513808
2009-06-30,31.029632
2008-12-29,29.262483
2021-03-10,73.577286
2013-02-04,29.859916
2014-08-16,35.978225
2014-08-15,35.978225
