conf_id,event,country
3145,Arbejdsglaede Live,United States
3146,TEDxBoston 2009,United States
3147,EG 2008,United States
3155,TEDSalon London 2009,UK
3156,TED@State,United States
3161,TED2006,United States
3203,TED2004,United States
3235,TED2003,United States
3269,Elizabeth G. Anderson School,United States
3270,TED2002,United States
3296,TED2008,United States
3353,Serious Play 2008,United States
3361,TED2001,United States
3365,TED1998,United States
3371,Taste3 2008,United States
3377,TEDGlobal 2005,UK
3403,TEDSalon 2009 Compassion,United States
3405,TEDGlobal 2007,Tanzania
3432,EG 2007,United States
3445,Chautauqua Institution,United States
3448,TED Prize Wish,United States
3449,LIFT 2007,United States
3450,TED1990,United States
3451,DLD 2007,United States
3452,TED1984,United States
3453,TEDSalon 2007 Hot Science,United States
3455,Skoll World Forum 2007,United States
3456,TEDSalon 2006,United States
